frame,time_s,mean_luma,median_luma,p5_luma,p95_luma,rms_contrast,clip_low_pct,clip_high_pct,exposure_index,classification
322,26.8333,30.2623,27.655,13.118,50.5788,12.7582,0.0199,0.0,0.2565,very dark
324,27.0,30.2491,27.71,13.118,50.5788,12.7749,0.0326,0.0,0.2563,very dark
326,27.1667,30.2441,27.655,13.0458,50.5788,12.7773,0.0326,0.0,0.2563,very dark
328,27.3333,30.2555,27.69,13.0458,50.5788,12.7767,0.0295,0.0,0.2564,very dark
330,27.5,30.2451,27.655,13.0458,50.5788,12.7766,0.0247,0.0,0.2563,very dark
332,27.6667,30.2371,27.655,13.0458,50.5788,12.7855,0.0247,0.0,0.2562,very dark
334,27.8333,30.2372,27.655,13.0458,50.5788,12.786,0.0235,0.0,0.2562,very dark
336,28.0,30.1601,27.408,12.6286,50.5788,12.8692,0.0711,0.0,0.2556,very dark
338,28.1667,29.8395,26.9828,12.0538,50.5788,13.1553,1.0715,0.0,0.2529,very dark
340,28.3333,30.2712,27.655,11.1444,51.0682,14.7224,1.7331,0.0,0.2565,very dark
342,28.5,30.6789,28.2166,10.773,51.2888,15.9841,2.3865,0.0,0.26,very dark
344,28.6667,30.575,28.2166,9.5656,51.2888,16.2408,3.2148,0.0,0.2591,very dark
346,28.8333,30.5742,28.2166,8.7757,51.2888,16.3245,3.7236,0.0,0.2591,very dark
348,29.0,30.5726,29.055,7.2756,51.2888,16.5513,3.9373,0.0,0.2591,very dark
350,29.1667,30.8885,30.4974,7.6968,51.2888,16.4657,3.9587,0.0,0.2618,very dark
352,29.3333,31.6577,31.4974,9.412,51.3558,17.2898,3.0855,0.0,0.2683,very dark
354,29.5,31.6311,31.643,9.4974,51.4424,17.2566,2.8697,0.0,0.2681,very dark
356,29.6667,31.2643,31.0,9.1444,51.4424,17.466,3.2169,0.0,0.265,very dark
358,29.8333,31.3265,30.9238,9.5564,52.0854,17.3559,2.9101,0.0,0.2655,very dark
360,30.0,31.9716,31.1444,10.059,53.1404,17.3924,1.9691,0.0,0.2709,very dark
362,30.1667,31.7628,30.4974,10.412,53.361,17.4097,1.4905,0.0,0.2692,very dark
364,30.3333,31.6728,29.5484,10.8372,53.361,17.3151,0.9006,0.0,0.2684,very dark
366,30.5,31.5611,29.055,11.412,53.2978,16.9454,0.5769,0.0,0.2675,very dark
368,30.6667,31.6309,28.9106,11.647,53.361,17.1907,0.2595,0.0,0.2681,very dark
370,30.8333,31.7349,28.9106,11.8372,53.361,17.1589,0.1739,0.0,0.2689,very dark
372,31.0,31.7737,28.9266,12.1312,53.361,17.0136,0.0871,0.0003,0.2693,very dark
374,31.1667,31.9843,29.2258,12.4842,53.361,17.024,0.0136,0.0003,0.2711,very dark
376,31.3333,32.1477,29.6968,12.9828,53.349,16.9829,0.0271,0.0,0.2724,very dark
378,31.5,32.2146,30.1444,12.9828,53.0854,16.9805,0.0226,0.0003,0.273,very dark
380,31.6667,32.1832,30.158,12.7782,52.8584,16.9389,0.038,0.0,0.2727,very dark
382,31.8333,32.1843,30.2728,12.9828,52.2888,17.0578,0.0533,0.0,0.2727,very dark
384,32.0,31.6686,28.6206,12.797,51.4281,17.0333,0.0856,0.0,0.2684,very dark
386,32.1667,31.4426,27.9014,12.9266,51.2888,17.0639,0.1031,0.0,0.2665,very dark
388,32.3333,31.3924,27.3518,13.0458,51.0,16.9985,0.06,0.0003,0.266,very dark
390,32.5,32.0857,28.9868,12.9266,51.4591,17.9623,0.1013,0.0,0.2719,very dark
392,32.6667,31.8443,28.6206,12.773,51.5616,17.0676,0.1848,0.0,0.2699,very dark
394,32.8333,31.8453,29.5484,12.6326,51.5788,16.8542,0.2113,0.0,0.2699,very dark
396,33.0,31.747,29.1312,12.4842,51.4424,16.819,0.2872,0.0,0.269,very dark
398,33.1667,31.6338,28.9868,12.6338,51.5228,16.712,0.3346,0.0,0.2681,very dark
400,33.3333,31.3949,28.5484,12.6326,51.2888,16.6687,0.3689,0.0,0.2661,very dark
402,33.5,29.7415,26.408,11.9146,49.361,13.0228,0.4651,0.0,0.252,very dark
404,33.6667,29.9717,26.408,12.0458,49.361,14.3426,0.5166,0.0,0.254,very dark
406,33.8333,29.8833,26.408,12.0538,49.361,14.3237,0.5133,0.0,0.2532,very dark
408,34.0,29.2511,26.3358,11.9146,49.361,12.9362,0.5823,0.0,0.2479,very dark
410,34.1667,29.4722,26.408,12.0538,49.361,13.8982,0.5121,0.0,0.2498,very dark
412,34.3333,29.3233,26.408,12.0538,49.361,12.8996,0.4021,0.0,0.2485,very dark
414,34.5,29.3961,26.408,12.1312,49.361,12.841,0.2113,0.0,0.2491,very dark
416,34.6667,29.4363,26.4424,12.2756,49.2206,12.7775,0.1079,0.0,0.2495,very dark
418,34.8333,29.4743,26.4974,12.408,49.2206,12.7448,0.0826,0.0,0.2498,very dark
420,35.0,29.4723,26.655,12.4842,49.361,12.7151,0.0811,0.0,0.2498,very dark
422,35.1667,29.4542,26.647,12.4842,49.361,12.7085,0.0781,0.0,0.2496,very dark
