frame,time_s,mean_luma,median_luma,p5_luma,p95_luma,rms_contrast,clip_low_pct,clip_high_pct,exposure_index,classification
416,34.6667,105.3935,96.373,48.2048,171.8904,42.9228,0.0,0.0,0.8932,well-exposed
418,34.8333,105.5098,96.5706,48.3384,171.6354,42.8266,0.0,0.0,0.8942,well-exposed
420,35.0,105.5631,96.7018,48.3384,172.5804,42.7675,0.0,0.0,0.8946,well-exposed
422,35.1667,105.6348,96.9832,48.4788,172.7248,42.7423,0.0,0.0,0.8952,well-exposed
424,35.3333,105.6684,97.0692,48.4788,172.7248,42.7214,0.0,0.0,0.8955,well-exposed
426,35.5,105.7105,97.2084,48.48,172.7248,42.6909,0.0,0.0,0.8959,well-exposed
428,35.6667,105.7351,97.2084,48.4526,172.7248,42.6757,0.0,0.0,0.8961,well-exposed
430,35.8333,105.6897,97.1804,48.378,172.6004,42.6977,0.0,0.0,0.8957,well-exposed
432,36.0,105.5985,97.1002,48.3384,172.6628,42.7516,0.0,0.0,0.8949,well-exposed
434,36.1667,105.5082,96.9976,48.4198,171.4904,42.7659,0.0,0.0,0.8941,well-exposed
436,36.3333,105.5343,97.0692,48.4788,172.032,42.7431,0.0,0.0,0.8944,well-exposed
438,36.5,105.6055,97.2044,48.6588,171.507,42.5897,0.0,0.0,0.895,well-exposed
440,36.6667,105.7551,97.3488,48.9814,171.8904,42.5204,0.0,0.0,0.8962,well-exposed
442,36.8333,105.8503,97.5672,49.0094,172.2274,42.488,0.0,0.0,0.897,well-exposed
444,37.0,105.8207,97.5672,48.954,171.971,42.5093,0.0,0.0,0.8968,well-exposed
446,37.1667,105.8588,97.5672,48.954,172.7248,42.5152,0.0,0.0,0.8971,well-exposed
448,37.3333,105.8343,97.5397,48.8338,172.7248,42.5131,0.0,0.0,0.8969,well-exposed
450,37.5,105.8154,97.4858,48.916,172.7248,42.5116,0.0,0.0,0.8967,well-exposed
452,37.6667,105.8153,97.4858,48.8631,172.5438,42.4959,0.0,0.0,0.8967,well-exposed
454,37.8333,105.7745,97.4362,48.8338,172.393,42.5287,0.0,0.0,0.8964,well-exposed
456,38.0,105.7434,97.5672,48.8029,171.8904,42.54,0.0,0.0,0.8961,well-exposed
458,38.1667,105.7247,97.4342,48.8032,172.2624,42.5537,0.0,0.0,0.896,well-exposed
460,38.3333,105.7011,97.366,48.6548,172.456,42.5738,0.0,0.0,0.8958,well-exposed
462,38.5,105.6779,97.4342,48.5082,172.2414,42.5804,0.0,0.0,0.8956,well-exposed
464,38.6667,105.6806,97.4852,48.5816,172.5086,42.5769,0.0,0.0,0.8956,well-exposed
466,38.8333,105.674,97.4081,48.5694,172.6686,42.5914,0.0,0.0,0.8955,well-exposed
468,39.0,105.7192,97.5488,48.6066,172.5804,42.5639,0.0,0.0,0.8959,well-exposed
470,39.1667,105.7083,97.5488,48.6588,172.7248,42.5872,0.0,0.0,0.8958,well-exposed
472,39.3333,105.6933,97.4342,48.5694,172.5438,42.6018,0.0,0.0,0.8957,well-exposed
474,39.5,105.6566,97.393,48.5694,172.7248,42.6115,0.0,0.0,0.8954,well-exposed
476,39.6667,105.6608,97.393,48.5682,172.7248,42.6167,0.0,0.0,0.8954,well-exposed
478,39.8333,105.6689,97.3506,48.5672,172.3994,42.6167,0.0,0.0,0.8955,well-exposed
480,40.0,105.66,97.4378,48.5804,171.84,42.5915,0.0,0.0,0.8954,well-exposed
482,40.1667,105.6889,97.3506,48.7688,171.8904,42.5787,0.0,0.0,0.8957,well-exposed
484,40.3333,105.6975,97.3506,48.789,171.8904,42.5702,0.0,0.0,0.8957,well-exposed
486,40.5,105.7099,97.3524,48.789,171.8904,42.5753,0.0,0.0,0.8958,well-exposed
488,40.6667,105.734,97.393,48.789,171.8904,42.5988,0.0,0.0,0.8961,well-exposed
490,40.8333,105.6841,97.4852,48.5672,171.8904,42.6799,0.0,0.0,0.8956,well-exposed
